,Column1,NAME,NUMBER OF COURSES,companyname,coursetype,URL2,Column5
80,29,Business Analytics,5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/business-analytics,
81,30,Business and Financial Modeling,5.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-business-financial-modeling,
82,329,Business English,4.0,Arizona State University,SPECIALIZATION,https://www.coursera.org/specializations/english-for-business,
83,210,Business English Communication Skills,5.0,University of Washington,SPECIALIZATION,https://www.coursera.org/specializations/business-english,
84,423,Business English for Non-Native Speakers,5.0,The Hong Kong University of Science and Technology,SPECIALIZATION,https://www.coursera.org/specializations/business-english-speakers,
85,23,Business Foundations,6.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-business-foundations,
86,525,Business Russian Communication,4.0,Saint Petersburg State University,SPECIALIZATION,https://www.coursera.org/specializations/business-russian,
87,175,Business Statistics and Analysis,5.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/business-statistics-analysis,
88,268,Business Strategies for A Better World,4.0,University of Pennsylvania,SPECIALIZATION,https://www.coursera.org/specializations/wharton-global-business-strategy,
89,75,Business Strategy,5.0,University of Virginia,SPECIALIZATION,https://www.coursera.org/specializations/business-strategy,
90,333,Business Technology Management,6.0,Indian School of Business,SPECIALIZATION,https://www.coursera.org/specializations/business-technology-managment,
91,264,C# Programming for Unity Game Development,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/programming-unity-game-development,
92,351,CAD and Digital Manufacturing,5.0,Autodesk,SPECIALIZATION,https://www.coursera.org/specializations/cad-design-digital-manufacturing,
93,250,Cancer Biology,3.0,Johns Hopkins University,SPECIALIZATION,https://www.coursera.org/specializations/cancer-biology,
94,437,Career Brand Management,4.0,The State University of New York,SPECIALIZATION,https://www.coursera.org/specializations/career-brand-management,
95,90,Career Success,8.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/career-success,
96,604,Caring for Others,3.0,University of Colorado Boulder,SPECIALIZATION,https://www.coursera.org/specializations/caring-for-others,
97,560,CertNexus Certified Artificial Intelligence Practitioner,5.0,CertNexus,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/certified-artificial-intelligence-practitioner,
98,584,CertNexus Certified Ethical Emerging Technologist,6.0,CertNexus,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/certified-ethical-emerging-technologist,
99,384,Ciencia de Datos Aplicada,4.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/ciencia-de-datos-aplicada,
100,225,Ciencia de Datos de IBM,9.0,IBM,PROFESSIONAL CERTIFICATE,https://www.coursera.org/professional-certificates/certificado-profesional-de-ciencia-de-datos-de-ibm,
101,495,Climate Change and Health: From Science to Action,3.0,Yale University,SPECIALIZATION,https://www.coursera.org/specializations/climate-change-and-health,
102,460,Clinical Data Science,6.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/clinical-data-science,
103,41,Cloud Application Development Foundations,4.0,IBM,SPECIALIZATION,https://www.coursera.org/specializations/ibm-cloud-application-development-foundations,
104,334,Cloud Computing,6.0,University of Illinois at Urbana-Champaign,SPECIALIZATION,https://www.coursera.org/specializations/cloud-computing,
105,389,Coaching Skills for Managers,4.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/coaching-skills-manager,
106,556,"Coding for Designers, Managers, and Entrepreneurs",3.0,University of Virginia,SPECIALIZATION,https://www.coursera.org/specializations/coding-for-managers,
107,151,Coding for Everyone: C and C++,4.0,"University of California, Santa Cruz",SPECIALIZATION,https://www.coursera.org/specializations/coding-for-everyone,
108,534,Communication Skills for Engineers,3.0,Rice University,SPECIALIZATION,https://www.coursera.org/specializations/leadership-communication-engineers,
109,327,Competitive Strategy and Organization Design,4.0,Ludwig-Maximilians-Universität München (LMU),SPECIALIZATION,https://www.coursera.org/specializations/competitive-strategy,
110,249,Computational Social Science,5.0,"University of California, Davis",SPECIALIZATION,https://www.coursera.org/specializations/computational-social-science-ucdavis,
111,598,Computational Thinking & Block Programming in K-12 Education,6.0,University of California San Diego,SPECIALIZATION,https://www.coursera.org/specializations/computational-thinking-block-programming-k12-education,
112,586,Computational Thinking with Beginning C Programming,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/computational-thinking-c-programming,
113,368,Computer Communications,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/computer-communications,
114,418,Computer Forensics,3.0,Infosec,SPECIALIZATION,https://www.coursera.org/specializations/computerforensics,
115,397,Computer Security and Systems Management,4.0,University of Colorado System,SPECIALIZATION,https://www.coursera.org/specializations/computer-security-systems-management,
116,180,Conflict Management,4.0,"University of California, Irvine",SPECIALIZATION,https://www.coursera.org/specializations/conflict-management,
117,569,Connected Planning for Business Transformation,4.0,Anaplan,SPECIALIZATION,https://www.coursera.org/specializations/anaplan-connected-planning-business-transformation,
118,101,Construction Management,5.0,Columbia University,SPECIALIZATION,https://www.coursera.org/specializations/construction-management,
119,297,Content Strategy for Professionals,5.0,Northwestern University,SPECIALIZATION,https://www.coursera.org/specializations/content-strategy,
120,233,Core Java,4.0,LearnQuest,SPECIALIZATION,https://www.coursera.org/specializations/core-java,
